wallet_id,tags,total_swaps,active_days,daily_frequency,closed_positions,inflated_positions,win_rate,total_pnl_sol,avg_pnl_sol,proxy_pct,buy_sell_ratio,top_token_pct,unique_tokens
5QNhwHKr,unclassified,2000,448.0,4.5,0,0,0.0,0.0,0.0,0.0,0.66,29.6,13
ERkhuJ22,"insufficient_data,data_clipped",13,358.9,0.0,1,1,0.0,-140.755,-140.755,0.0,0.89,46.2,5
5FnCqqet,data_clipped,2000,790.2,2.5,2,2,100.0,14661.35,7330.675,0.0,0.86,36.4,24
6TYDxGmV,"proxy_bot,high_frequency,insufficient_data,market_maker",2000,1,2000.0,68,0,1.5,0.0,0.0,53.2,0.69,51.0,71
CpxFT284,"insufficient_data,market_maker",27,2.0,13.5,0,0,0.0,0.0,0.0,0.0,0.68,48.5,7
G8p5wwV4,"data_clipped,smart_candidate",829,865.4,1.0,27,6,55.6,54761.587,2028.207,0.0,0.38,41.4,37
9nnLbotN,"high_frequency,insufficient_data,data_clipped",2000,1,2000.0,40,20,42.5,56.774,1.419,0.0,0.87,33.7,221
ExA1mQUv,unclassified,458,99.8,4.6,29,0,6.9,307.472,10.602,0.0,0.46,52.1,36
DkaA821P,"data_clipped,smart_candidate",2000,407.0,4.9,5,5,100.0,2545.515,509.103,0.0,0.94,41.2,15
2HZceknw,data_clipped,2000,591.9,3.4,1,1,100.0,546.123,546.123,0.0,0.65,27.2,15
99nd7ih7,data_clipped,2000,332.3,6.0,1,1,100.0,586.107,586.107,0.0,0.82,32.1,8
8mVv6jHu,data_clipped,1303,627.1,2.1,225,2,6.7,21145.835,93.981,0.0,0.96,46.1,242
DiHjT1dA,data_clipped,2000,547.0,3.7,3,2,100.0,1795.133,598.378,0.0,0.71,24.8,14
ErgumyqT,unclassified,35,322.0,0.1,5,0,40.0,-117.663,-23.533,0.0,0.42,51.5,10
9zbBuq67,"high_frequency,insufficient_data,market_maker",2000,5.6,355.3,0,0,0.0,0.0,0.0,0.0,0.89,40.4,3
8wWW9nkf,data_clipped,1796,356.1,5.0,6,2,16.7,-1829.577,-304.93,0.0,0.3,44.4,13
HbjRwJqF,insufficient_data,9,48.5,0.2,0,0,0.0,0.0,0.0,0.0,0.88,44.1,7
Ddo2UErZ,data_clipped,136,376.9,0.4,8,3,50.0,2896.199,362.025,0.0,0.77,43.9,19
G1Fttxq6,unclassified,1690,288.6,5.9,0,0,0.0,0.0,0.0,0.0,0.01,97.6,10
8cSR7F2C,unclassified,58,31.4,1.8,3,0,33.3,26.72,8.907,0.0,0.07,67.2,7
Hq8MmCBF,"high_frequency,insufficient_data,market_maker,data_clipped",2000,4.7,429.1,4,2,75.0,829.1,207.275,0.0,0.83,41.0,8
9w2e3kpt,data_clipped,2000,373.2,5.4,51,5,35.3,1855.471,36.382,0.0,0.53,10.2,87
J6q6LiUi,"data_clipped,smart_candidate",2000,408.9,4.9,12,11,83.3,4488.29,374.024,0.0,0.8,48.0,22
FmNwhc7j,"high_frequency,insufficient_data",2000,2.5,787.1,1,0,100.0,9.777,9.777,0.0,0.98,33.8,7
9Huhh48A,"high_frequency,insufficient_data,market_maker",29,1,29.0,0,0,0.0,0.0,0.0,0.0,0.57,58.8,3
D6FN73mc,"data_clipped,smart_candidate",71,134.3,0.5,5,2,60.0,1844.159,368.832,0.0,0.52,45.1,10
DCfMe74p,insufficient_data,3,78.6,0.0,1,0,0.0,-46.81,-46.81,0.0,0.0,35.3,4
6nAPxb1e,data_clipped,2000,363.3,5.5,835,2,24.3,0.803,0.001,0.0,0.49,55.4,986
Dd1k91cW,data_clipped,2000,130.9,15.3,3,2,100.0,0.338,0.113,0.0,0.96,37.2,125
AjACU2Ai,data_clipped,1258,1230.2,1.0,60,14,50.0,3210.962,53.516,0.0,0.88,39.0,148
