代币,交易次数,总投入(SOL),总套现(SOL),净利润(SOL),回报率(%),状态
8Jx8AA...,17,13.16,763.61,750.45,5702.35,✅ 盈利
JB2wez...,26,52.65,598.81,546.16,1037.35,✅ 盈利
CxWPdD...,22,55.62,422.5,366.88,659.59,✅ 盈利
Hoi9Lo...,12,28.29,276.54,248.26,877.64,✅ 盈利
EPjFWd...,2,0.0,231.38,231.38,0.0,⚠️ 老鼠仓?
8116V1...,23,75.82,193.3,117.48,154.94,✅ 盈利
8J69rb...,1,0.0,80.47,80.47,0.0,⚠️ 老鼠仓?
8xHAL5...,4,20.21,94.35,74.14,366.8,✅ 盈利
9KbgSh...,14,100.98,172.3,71.32,70.63,✅ 盈利
EJZJpN...,1,0.0,65.71,65.71,0.0,⚠️ 老鼠仓?
7eMJmn...,14,8.27,73.12,64.84,783.62,✅ 盈利
38Pgzp...,1,0.0,59.94,59.94,0.0,⚠️ 老鼠仓?
2TsmuY...,6,24.27,81.93,57.66,237.55,✅ 盈利
4gfNpw...,5,30.32,84.09,53.76,177.31,✅ 盈利
CfVs3w...,1,0.0,41.98,41.98,0.0,⚠️ 老鼠仓?
97PVGU...,1,0.0,30.14,30.14,0.0,⚠️ 老鼠仓?
DNhQZ1...,2,40.38,62.03,21.65,53.62,✅ 盈利
GLy5g8...,8,28.32,48.71,20.38,71.97,✅ 盈利
H1aoUq...,1,0.0,18.85,18.85,0.0,⚠️ 老鼠仓?
DRA5Rx...,3,1.06,10.2,9.14,861.07,✅ 盈利
32Bea1...,3,10.11,17.36,7.25,71.67,✅ 盈利
cjwmMX...,2,10.15,17.07,6.92,68.19,✅ 盈利
9avVfY...,1,0.0,6.56,6.56,0.0,⚠️ 老鼠仓?
DX3v7A...,3,5.1,11.53,6.43,125.98,✅ 盈利
DPSPxe...,2,0.0,5.9,5.9,0.0,⚠️ 老鼠仓?
E3SDKL...,2,20.19,25.91,5.72,28.31,✅ 盈利
3t1bNt...,5,23.26,28.44,5.18,22.26,✅ 盈利
HWbNnW...,3,10.11,13.86,3.75,37.1,✅ 盈利
9uTekA...,1,0.0,3.44,3.44,0.0,⚠️ 老鼠仓?
7nsmpD...,5,28.29,31.27,2.98,10.55,✅ 盈利
yPg8Hy...,2,5.06,7.72,2.67,52.7,✅ 盈利
4NS4nx...,1,0.0,2.15,2.15,0.0,⚠️ 老鼠仓?
D4JFHF...,2,36.34,38.47,2.13,5.87,✅ 盈利
6p5Ej1...,3,4.05,6.04,1.98,48.95,✅ 盈利
A8YHuv...,2,20.23,22.19,1.96,9.69,✅ 盈利
85ioZL...,3,8.09,9.83,1.73,21.39,✅ 盈利
FtX6b1...,2,8.09,9.55,1.46,18.02,✅ 盈利
93a1th...,5,11.26,12.56,1.3,11.51,✅ 盈利
Gi8Nvf...,2,2.07,3.29,1.22,58.91,✅ 盈利
CmECTA...,2,3.08,3.92,0.84,27.14,✅ 盈利
FvyAGA...,2,10.1,10.83,0.73,7.2,✅ 盈利
9YKeGR...,2,5.06,5.77,0.71,14.03,✅ 盈利
7iBbMS...,1,0.0,0.48,0.48,0.0,✅ 盈利
7E2iF4...,6,20.21,20.68,0.47,2.32,✅ 盈利
HEoprR...,3,11.12,11.41,0.29,2.61,✅ 盈利
B4G5sh...,2,20.24,20.08,-0.16,-0.79,❌ 亏损
8xweW5...,2,5.1,4.87,-0.23,-4.57,❌ 亏损
55PbiW...,2,6.07,5.83,-0.24,-3.9,❌ 亏损
He6bwH...,2,4.09,3.68,-0.41,-9.95,❌ 亏损
GbSQyf...,2,2.07,1.58,-0.49,-23.75,❌ 亏损
BzHeKC...,2,2.03,1.54,-0.49,-24.24,❌ 亏损
5PsnNw...,2,1.06,0.54,-0.52,-49.38,❌ 亏损
7MDApu...,6,50.5,49.92,-0.57,-1.14,❌ 亏损
CUgDSb...,2,2.03,1.24,-0.79,-38.98,❌ 亏损
E6dweJ...,2,9.1,8.3,-0.8,-8.83,❌ 亏损
BZ7Pxq...,2,10.11,9.3,-0.81,-8.04,❌ 亏损
26QWNS...,2,2.03,1.22,-0.82,-40.14,❌ 亏损
9LZwFe...,2,2.07,1.19,-0.88,-42.46,❌ 亏损
8ryRQD...,2,3.04,2.15,-0.89,-29.21,❌ 亏损
gPRGYS...,2,3.04,2.15,-0.9,-29.42,❌ 亏损
7V7o2g...,2,6.11,5.06,-1.05,-17.2,❌ 亏损
EjqJCX...,2,1.57,0.49,-1.08,-68.76,❌ 亏损
GytvEb...,2,10.1,9.02,-1.08,-10.73,❌ 亏损
Dzswqz...,2,1.57,0.28,-1.29,-82.31,❌ 亏损
89XW4u...,4,3.87,2.55,-1.32,-34.14,❌ 亏损
CB9dDu...,2,37.39,36.05,-1.33,-3.57,❌ 亏损
GHkkJ3...,4,3.13,1.73,-1.4,-44.85,❌ 亏损
DwDtUq...,2,6.11,4.61,-1.5,-24.56,❌ 亏损
7QEQYH...,2,5.1,3.46,-1.65,-32.24,❌ 亏损
Gc8VdR...,3,15.17,13.46,-1.71,-11.29,❌ 亏损
AVGuyg...,2,5.1,3.27,-1.83,-35.82,❌ 亏损
DEWNyH...,2,10.11,8.09,-2.02,-19.98,❌ 亏损
DX8YM4...,1,2.03,0.0,-2.03,-100.0,❌ 亏损
C64cB3...,2,2.04,0.0,-2.04,-100.0,❌ 亏损
FFFmEf...,2,2.04,0.0,-2.04,-100.0,❌ 亏损
DaoLAe...,2,2.04,0.0,-2.04,-100.0,❌ 亏损
AyxrBm...,2,6.11,4.02,-2.09,-34.22,❌ 亏损
9QutXR...,2,5.1,2.97,-2.13,-41.72,❌ 亏损
4ttPqZ...,2,3.08,0.88,-2.2,-71.29,❌ 亏损
FkUGkr...,2,3.08,0.58,-2.5,-81.17,❌ 亏损
aAR5oo...,2,2.5,0.0,-2.5,-100.0,❌ 亏损
3AJ9PC...,2,10.1,7.6,-2.51,-24.8,❌ 亏损
CyX9S6...,2,2.55,0.0,-2.55,-100.0,❌ 亏损
3Yc2Vy...,2,5.06,2.39,-2.67,-52.77,❌ 亏损
8gFpUK...,3,7.17,4.25,-2.92,-40.71,❌ 亏损
6QrumX...,1,3.04,0.0,-3.04,-100.0,❌ 亏损
BaDDe7...,1,3.04,0.0,-3.04,-100.0,❌ 亏损
3vXjT1...,1,3.08,0.0,-3.08,-100.0,❌ 亏损
3eKEQD...,2,5.06,1.85,-3.22,-63.55,❌ 亏损
G5e2Xo...,2,20.25,17.02,-3.23,-15.96,❌ 亏损
4Nmoz1...,2,5.06,1.55,-3.51,-69.42,❌ 亏损
DLMmRN...,3,8.1,4.53,-3.57,-44.11,❌ 亏损
DQJ32M...,3,5.07,1.4,-3.67,-72.38,❌ 亏损
