代币,交易次数,总投入(SOL),总套现(SOL),净利润(SOL),回报率(%),状态
7pskt3...,28,175.1,985.41,810.31,462.76,✅ 盈利
9KbgSh...,23,70.1,505.52,435.41,621.11,✅ 盈利
Hoi9Lo...,6,0.0,222.73,222.73,0.0,⚠️ 老鼠仓?
4gfNpw...,4,0.0,196.89,196.89,0.0,⚠️ 老鼠仓?
HCBmKu...,15,20.1,144.17,124.07,617.19,✅ 盈利
jkAWzP...,6,0.0,114.63,114.63,0.0,⚠️ 老鼠仓?
CZSE6F...,20,125.18,232.81,107.63,85.98,✅ 盈利
FWGC5z...,10,105.13,176.41,71.29,67.81,✅ 盈利
9F6VbP...,5,110.08,172.29,62.21,56.52,✅ 盈利
8Jx8AA...,4,100.05,146.87,46.82,46.8,✅ 盈利
JCUWgd...,3,65.05,104.96,39.91,61.35,✅ 盈利
AYWAiv...,4,5.03,36.67,31.65,629.5,✅ 盈利
BGGFZL...,4,60.05,85.68,25.63,42.68,✅ 盈利
HEPvyu...,3,15.03,36.46,21.44,142.66,✅ 盈利
C1Ky45...,4,26.05,45.32,19.27,73.97,✅ 盈利
6WByno...,2,25.03,37.56,12.53,50.08,✅ 盈利
ETv3Qt...,3,20.01,28.78,8.77,43.83,✅ 盈利
DqEMsw...,5,29.08,36.99,7.92,27.22,✅ 盈利
2JrcoY...,2,10.03,17.05,7.02,70.01,✅ 盈利
4EYxUm...,2,3.03,8.74,5.71,188.68,✅ 盈利
CPLTbY...,3,100.05,104.45,4.4,4.4,✅ 盈利
JCb9fb...,2,10.03,13.96,3.93,39.2,✅ 盈利
HCfwWX...,2,5.03,8.89,3.87,76.91,✅ 盈利
9gRaMd...,2,5.03,8.55,3.52,70.0,✅ 盈利
AMLaXJ...,2,5.03,8.54,3.51,69.88,✅ 盈利
J2QkJz...,2,3.03,6.15,3.12,103.2,✅ 盈利
6FfVoj...,2,3.03,5.92,2.89,95.49,✅ 盈利
3yti9j...,2,3.03,5.56,2.53,83.62,✅ 盈利
F6K9f9...,2,15.03,17.53,2.5,16.63,✅ 盈利
9a4mxH...,2,3.03,4.82,1.79,59.14,✅ 盈利
9DpzcM...,3,15.05,16.6,1.55,10.31,✅ 盈利
F1ejiS...,2,10.03,11.54,1.51,15.05,✅ 盈利
6UEZQB...,2,3.03,4.33,1.3,43.06,✅ 盈利
FK4yVd...,2,5.03,6.29,1.26,25.09,✅ 盈利
7ZyypE...,2,7.03,8.21,1.19,16.88,✅ 盈利
Fb7HuP...,3,10.01,11.16,1.15,11.51,✅ 盈利
CFn4aD...,2,3.03,3.97,0.94,31.12,✅ 盈利
HEoprR...,2,15.03,15.81,0.78,5.2,✅ 盈利
DAaoxS...,2,5.03,5.8,0.77,15.32,✅ 盈利
9P2MpD...,2,3.03,3.58,0.55,18.29,✅ 盈利
2zFpFk...,2,3.03,3.12,0.1,3.2,✅ 盈利
ASUmqf...,2,3.03,3.07,0.04,1.46,✅ 盈利
CMhVhh...,2,3.03,2.67,-0.35,-11.64,❌ 亏损
783ZbV...,2,3.03,2.56,-0.46,-15.36,❌ 亏损
HvHhd9...,2,4.1,3.3,-0.79,-19.33,❌ 亏损
BvRMmC...,2,10.03,9.16,-0.87,-8.66,❌ 亏损
2Cpq13...,2,10.03,9.08,-0.95,-9.48,❌ 亏损
7LNZeR...,2,3.03,2.0,-1.03,-34.06,❌ 亏损
AUtS4L...,2,3.03,1.93,-1.09,-36.16,❌ 亏损
HJnh7C...,2,3.03,1.81,-1.21,-40.05,❌ 亏损
CUdqWV...,2,3.03,1.69,-1.34,-44.19,❌ 亏损
3NK6Pg...,1,2.03,0.0,-2.03,-100.0,❌ 亏损
BwbZ99...,1,2.03,0.0,-2.03,-100.0,❌ 亏损
5hpPpQ...,1,2.03,0.0,-2.03,-100.0,❌ 亏损
W6n4Fd...,2,15.03,12.96,-2.07,-13.78,❌ 亏损
7ADCHu...,5,18.1,15.62,-2.49,-13.73,❌ 亏损
FqFqDa...,2,2.5,0.0,-2.5,-100.0,❌ 亏损
A8C3xu...,4,252.04,249.32,-2.72,-1.08,❌ 亏损
8TYsT1...,2,5.03,2.21,-2.82,-56.08,❌ 亏损
FrtEps...,3,30.05,27.05,-3.0,-9.99,❌ 亏损
AWc8uw...,3,35.05,32.03,-3.02,-8.62,❌ 亏损
H7BDwQ...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
62eNTA...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
FTiq3n...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
3PqR1Z...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
9EGX7G...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
5C58z6...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
JDuHg2...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
2EC9RE...,1,3.03,0.0,-3.03,-100.0,❌ 亏损
EPgVd4...,2,10.03,6.85,-3.18,-31.67,❌ 亏损
5qFfuf...,2,10.03,6.53,-3.5,-34.92,❌ 亏损
AWW2Eg...,2,10.03,6.19,-3.84,-38.31,❌ 亏损
G5Rdhv...,1,5.0,0.0,-5.0,-100.0,❌ 亏损
USD1tt...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
6DmK3V...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
J5tfRd...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
HYEqTb...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
4ReW3h...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
4uoXYH...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
91ZVHg...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
HrKphu...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
BjpvUX...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
9JmsZe...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
2APfuD...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
78tBZk...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
FLtYvN...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
B2Cx1W...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
F3WDS4...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
DaHHrK...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
J4rYjk...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
A9xbrM...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
FTnrCX...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
A98AcR...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
AyXLjp...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
BM323m...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
HfWSYj...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
6FBJ2F...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
4BcaY3...,1,5.03,0.0,-5.03,-100.0,❌ 亏损
HEJMsZ...,2,25.03,19.82,-5.21,-20.82,❌ 亏损
WLZxLj...,1,6.03,0.0,-6.03,-100.0,❌ 亏损
AUsbqN...,1,6.03,0.0,-6.03,-100.0,❌ 亏损
9gERAj...,1,6.03,0.0,-6.03,-100.0,❌ 亏损
9ra2pd...,1,6.03,0.0,-6.03,-100.0,❌ 亏损
3cMkGb...,5,75.1,68.45,-6.65,-8.85,❌ 亏损
8xwpGZ...,2,7.05,0.0,-7.05,-100.0,❌ 亏损
ANDHHq...,2,7.05,0.0,-7.05,-100.0,❌ 亏损
HUDTj9...,2,25.03,17.0,-8.02,-32.06,❌ 亏损
Eo27b2...,2,15.03,7.0,-8.03,-53.42,❌ 亏损
ANPQpZ...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
48Bbwb...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
8nDouq...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
Cfq3Ci...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
6cRrci...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
6H5jMk...,2,8.05,0.0,-8.05,-100.0,❌ 亏损
CxD7Vm...,2,50.03,41.59,-8.44,-16.86,❌ 亏损
8aQqGy...,4,12.08,3.43,-8.64,-71.56,❌ 亏损
7o71Vc...,2,8.71,0.0,-8.71,-100.0,❌ 亏损
H51nEH...,2,8.76,0.0,-8.76,-100.0,❌ 亏损
6b7Eg2...,3,25.05,15.89,-9.16,-36.56,❌ 亏损
FU3WHp...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
CTy5ZY...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
3FBowP...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
Bcz4bU...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
L8QqxC...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
FtTSDN...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
85aDht...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
FbJZW6...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
E6dweJ...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
FWvRt7...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
p3wGjM...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
EoJRrJ...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
4hhPMh...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
4iVXoa...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
AToZwP...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
7schhB...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
GeiAMH...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
aTPu8c...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
8h6t1S...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
BdmQum...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
DmKsJc...,1,10.03,0.0,-10.03,-100.0,❌ 亏损
9xXTUA...,2,10.05,0.0,-10.05,-100.0,❌ 亏损
4j2y5L...,2,10.05,0.0,-10.05,-100.0,❌ 亏损
5tJbkj...,2,15.0,4.87,-10.13,-67.53,❌ 亏损
yPg8Hy...,2,50.03,39.4,-10.63,-21.24,❌ 亏损
